name_x,ogrn,short_name,full_name,address_x,website,reg_date,liq_date,status_x,inn,region,okato,oktmo_code,okved,okved_code,okopf,okopf_code,domain_name,registrar,creation_date,expiration_date
АВИАЦИОННО-СПОРТИВНЫЙ ЦЕНТР ДОСААФ РОССИИ ИМЕНИ В.В. ТЕРЕШКОВОЙ,1167600050320.0,АВИАЦИОННО-СПОРТИВНЫЙ ЦЕНТР ДОСААФ РОССИИ ИМЕНИ В.В. ТЕРЕШКОВОЙ,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЯРОСЛАВСКИЙ АВИАЦИОННО-СПОРТИВНЫЙ ЦЕНТР ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ И ПОДГОТОВКИ К ВОЕННОЙ СЛУЖБЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННО-ГОСУДАРСТВЕННОЙ ОРГАНИЗАЦИИ ""ДОБРОВОЛЬНОЕ ОБЩЕСТВО СОДЕЙСТВИЯ АРМИИ, АВИАЦИИ И ФЛОТУ РОССИИ"" ИМЕНИ В.В. ТЕРЕШКОВОЙ""","150025, Ярославская обл., Ярославский район, пос. Карачиха, ул. Школьная стр. 31",dosaafpark.ru,2016-04-11,2021-04-27,Недействующая,7627047191.0,Ярославская область,"Ярославская область, Ярославский район, Ивняковский, п Карачиха",78650455426.0,Деятельность в области спорта прочая,93.19,Автономные некоммерческие организации,71400.0,DOSAAFPARK.RU,BEGET-RU,2017-07-20 19:26:46,2023-07-20 19:26:46
"АВИВ / ВЕСНА, ЧУ",1185000003011.0,"ЧУ ""АВИВ""/""ВЕСНА""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ПО РАЗВИТИЮ ТРАДИЦИЙ ЕВРЕЙСКОЙ КУХНИ ""АВИВ""/""ВЕСНА""","143082, Московская обл., г. Одинцово, д. Жуковка, шоссе Рублево-Успенское, д. 207 этаж / пом. 1/84",avivrestoran.ru,2018-07-20,,Действующая,5032297716.0,Московская область,"Московская область, Одинцово, д Жуковка",46755000365.0,Деятельность многоцелевых центров и подобных заведений с преобладанием культурного обслуживания,90.04.2,Частные учреждения,75500.0,AVIVRESTORAN.RU,TIMEWEB-RU,2021-08-30 09:05:32,2022-08-30 09:05:32
"АВИЦЕННА, ЧПОУ МК",1062600025883.0,"ЧПОУ МК ""АВИЦЕННА""","ЧАСТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МЕДИЦИНСКИЙ КОЛЛЕДЖ ""АВИЦЕННА""","355006, Ставропольский кр., г. Ставрополь, ул. Кирова, д. 25",mk-avicenna.ru,2006-06-29,,Действующая,2634071453.0,Ставропольский край,"Ставропольский край, Ставрополь, Октябрьский",7701000001.0,Образование профессиональное среднее,85.21,Частные учреждения,75500.0,MK-AVICENNA.RU,RU-CENTER-RU,2011-06-23 06:54:15,2023-06-23 07:54:15
"АВРОРА, АНО",1211200003585.0,"АНО ""АВРОРА""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""АГЕНТСТВО РЕАЛИЗАЦИИ ТВОРЧЕСКИХ ПРОЕКТОВ И ПРОСВЕТИТЕЛЬСКОЙ ДЕЯТЕЛЬНОСТИ ""АВРОРА""","424002, Марий Эл Респ, г.о. город Йошкар-Ола, г Йошкар-Ола, б-р Победы, д. 15А, помещ. 4/1",anoavrora.ru,2021-08-24,,Действующая,1200002166.0,Марий Эл (Республика),"Республика Марий Эл, Йошкар-Ола",88701000001.0,Деятельность зрелищно-развлекательная прочая,93.29,Автономные некоммерческие организации,71400.0,ANOAVRORA.RU,MAXNAME-RU,2022-03-15 06:59:42,2023-03-15 06:59:42
"АВРОРА, АНОО ШКОЛА",1215400045255.0,"АНОО ШКОЛА ""АВРОРА""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ""АВРОРА""","630082, Новосибирская обл, г.о. город Новосибирск, г Новосибирск, ул Тимирязева, д. 70/1",aurora-nsk.ru,1993-08-30,,Действующая,5402069516.0,Новосибирская область,"Новосибирская область, Новосибирск, Заельцовский",50701000001.0,Образование среднее общее,85.14,Автономные некоммерческие организации,71400.0,AURORA-NSK.RU,RU-CENTER-RU,2007-09-23 20:00:00,2022-09-23 21:00:00
"АВТО АС, ЧУДПО",1185958015869.0,"ЧУДПО ""АВТО АС""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АВТО АС""","618906, Пермский кр., г. Лысьва, ул. Коллективная, д. 10",avtoasls.ru,2018-05-08,,Действующая,5918216637.0,Пермский край,"Пермский край, Лысьва",57726000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTOASLS.RU,BEGET-RU,2021-10-07 12:18:24,2022-10-07 12:18:24
"АВТО ЛИГА, ЧПОУ",1096000000029.0,"ЧПОУ ""АВТО ЛИГА""","ЧАСТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АВТО ЛИГА""","180017, Псковская обл., г. Псков, ул. Яна Фабрициуса, д. 3 кв. 11",avtoliga-60.ru,2009-01-15,,Действующая,6027118995.0,Псковская область,"Псковская область, Псков",58701000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTOLIGA-60.RU,R01-RU,2015-05-29 11:32:43,2023-05-29 11:32:43
"АВТО СТИЛЬ, ЧОУ ДПО",1085200001732.0,"ЧОУ ДПО ""АВТО СТИЛЬ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АВТО СТИЛЬ""","606000, Нижегородская обл., г. Дзержинск, проспект Циолковского, д. 84А к. 20",avtostil52.ru,2008-04-14,,Действующая,5249094479.0,Нижегородская область,"Нижегородская область, Дзержинск",22721000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,AVTOSTIL52.RU,RU-CENTER-RU,2012-05-30 09:14:16,2023-05-30 10:14:16
"АВТО-КЛАСС, ЧПОУ",1023501242632.0,"ЧПОУ ""АВТО-КЛАСС""","ЧАСТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АВТО-КЛАСС""","162605, Вологодская обл., г. Череповец, ул. Краснодонцев, д. 26А кв. 12",avtoclass35.ru,2001-11-22,,Действующая,3528077455.0,Вологодская область,"Вологодская область, Череповец",19730000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTOCLASS35.RU,BEGET-RU,2015-10-17 19:31:06,2022-10-17 19:31:06
"АВТО-ЛАЙН, ЧОУ ДПО",1042901304225.0,"ЧОУ ДПО ""АВТО-ЛАЙН""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АВТО-ЛАЙН""","165300, Архангельская обл., Котласский район, г. Котлас, ул. 70 Лет Октября, д. 21",автолайн-котлас.рф,2004-09-13,,Действующая,2904014307.0,Архангельская область,"Архангельская область, Котлас",11710000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,XN----7SBABH7BIEERHG5BDI.XN--P1AI,REGRU-RF,2011-12-21 04:54:00,2022-12-21 05:54:00
"АВТО-ЛЮКС, ЧПОУ",1096400000619.0,"ЧПОУ ""АВТО-ЛЮКС""","ЧАСТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АВТОШКОЛА ""АВТО-ЛЮКС""","412800, Саратовская обл., г. Красноармейск, ул. Ленина, д. 5",avtoluxe64.ru,2009-04-16,,Действующая,6442011419.0,Саратовская область,"Саратовская область, Красноармейский район, Красноармейск",63622101001.0,Обучение профессиональное,85.30,Частные учреждения,75500.0,AVTOLUXE64.RU,RU-CENTER-RU,2014-05-13 10:05:05,2023-05-13 11:05:05
"АВТО-НАДЕЖДА, ЧОУ ДПО УЦ",1202900006430.0,"ЧОУ ДПО УЦ ""АВТО-НАДЕЖДА""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ УЧЕБНЫЙ ЦЕНТР ""АВТО-НАДЕЖДА""","163020, Архангельская обл., г. Архангельск, проспект Никольский, д. 36 офис 3",auto-nad29.ru,2020-11-13,,Действующая,2901303396.0,Архангельская область,"Архангельская область, Архангельск",11701000001.0,"Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки",85.42.9,Частные учреждения,75500.0,AUTO-NAD29.RU,REGRU-RU,2020-12-23 09:47:48,2022-12-23 09:47:48
"АВТО-ОРБИТА, ЧОУ ДО",1037835017043.0,"ЧОУ ДО ""АВТО-ОРБИТА""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""АВТО-ОРБИТА""","197101, г. Санкт-Петербург, проспект Каменноостровский, д. 26_28 литера пом. 7Н",www.auto-orbita.ru,2001-09-12,,Действующая,7816189723.0,Санкт-Петербург,"Санкт-Петербург, Петроградский",40390000000.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AUTO-ORBITA.RU,BEGET-RU,2022-03-07 11:35:36,2023-03-07 11:35:36
"АВТО-ПРЕМИУМ, НОЧУ ДПО",1086600003710.0,"НОЧУ ДПО ""АВТО-ПРЕМИУМ""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АВТО-ПРЕМИУМ""","620043, Свердловская обл., г. Екатеринбург, ул. Репина, д. 97 пом. 14",auto-premium96.ru,2008-10-07,,Действующая,6625049931.0,Свердловская область,"Свердловская область, Екатеринбург, Верх-Исетский",65701000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,AUTO-PREMIUM96.RU,RU-CENTER-RU,2017-02-06 08:38:47,2023-02-06 08:38:47
"АВТО-ПРОФИ, НОЧУ ДПО",1076600003952.0,"НОЧУ ДПО ""АВТО-ПРОФИ""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АВТО-ПРОФИ""","624350, Свердловская обл., г. Качканар, ул. Таежная, д. 10 к. А",avto-profi96.ru,2007-03-28,,Действующая,6615011015.0,Свердловская область,"Свердловская область, Качканар",65743000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTO-PROFI96.RU,RU-CENTER-RU,2013-01-21 06:19:16,2023-01-21 07:19:16
"АВТОАКАДЕМИЯ-НН, ЧУ ДО",1125200000914.0,"ЧУ ДО ""АВТОАКАДЕМИЯ-НН""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""АВТОАКАДЕМИЯ-НН""","603032, Нижегородская обл., г. Нижний Новгород, ул. Архитектурная, д. 8Б",autoacademiya.ru,2012-03-01,,Действующая,5258985094.0,Нижегородская область,"Нижегородская область, Нижний Новгород, Ленинский",22701000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AUTOACADEMIYA.RU,RU-CENTER-RU,2012-11-29 14:14:56,2022-11-29 15:14:56
"АВТОВАЗ, УНИВЕРСИТЕТ ГРУППЫ",1026301993497.0,"УНИВЕРСИТЕТ ГРУППЫ ""АВТОВАЗ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""КОРПОРАТИВНЫЙ УНИВЕРСИТЕТ ГРУППЫ ""АВТОВАЗ""","445043, Самарская обл., г. Тольятти, шоссе Южное, д. 121",cu-avtovaz.ru,1995-07-04,,Действующая,6321004431.0,Самарская область,"Самарская область, Тольятти, Автозаводский",36740000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,CU-AVTOVAZ.RU,REGTIME-RU,2012-02-13 06:55:42,2023-02-13 07:55:42
"АВТОВЕК-ХХII, НОЧУДПО АВТОШКОЛА",1069600011788.0,"НОЧУДПО АВТОШКОЛА ""АВТОВЕК - ХХII""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ АВТОШКОЛА ""АВТОВЕК - ХХII""","620041, Свердловская обл., г. Екатеринбург, ул. Советская, д. 16 кв. 22",avtovec.ru,2006-06-05,,Действующая,6658235595.0,Свердловская область,"Свердловская область, Екатеринбург, Кировский",65701000001.0,Образование профессиональное дополнительное,85.42,Частные учреждения,75500.0,AVTOVEC.RU,RU-CENTER-RU,2009-07-09 20:00:00,2023-07-09 21:00:00
"АВТОГРАФ, ЧОУДО УЧЕБНЫЙ ЦЕНТР",1027403895870.0,"ЧОУДО УЧЕБНЫЙ ЦЕНТР ""АВТОГРАФ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ УЧЕБНЫЙ ЦЕНТР ""АВТОГРАФ""","454080, Челябинская обл., г. Челябинск, проспект Свердловский, д. 84",autograf74.ru,1994-03-28,,Действующая,7453017326.0,Челябинская область,"Челябинская область, Челябинск, Центральный",75701390000.0,Образование дополнительное детей и взрослых,85.41,Частные учреждения,75500.0,AUTOGRAF74.RU,REGRU-RU,2013-01-10 04:41:08,2023-01-10 05:41:08
"АВТОДЕЛО, ЧУ",1022201516435.0,"ЧУ ""АВТОДЕЛО""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ПО ПОДГОТОВКЕ ВОДИТЕЛЕЙ ТРАНСПОРТНЫХ СРЕДСТВ ""АВТОДЕЛО""","656023, Алтайский кр., г. Барнаул, ул. Германа Титова, д. 1А",avtodelo22.ru,1998-03-12,,Действующая,2224046502.0,Алтайский край,"Алтайский край, Барнаул, Октябрьский",1701000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTODELO22.RU,RU-CENTER-RU,2019-10-19 04:18:12,2022-10-19 04:18:12
"АВТОКЛАСС, НОЧУ ДПО",1026600936581.0,"НОЧУ ДПО ""АВТОКЛАСС""","НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АВТОКЛАСС""","623409, Свердловская обл., г. Каменск-Уральский, ул. Революционная, д. 7",автошкола-автокласс.рф,1999-03-22,,Действующая,6612006480.0,Свердловская область,"Свердловская область, Каменск-Уральский, Синарский",65740000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,XN----7SBABAID4DEFF2ABF2CADI0I.XN--P1AI,REGRU-RF,2012-04-19 13:53:15,2023-04-19 14:53:15
"АВТОКЛУБ, ЧУДО",1031616015298.0,"ЧУДО ""АВТОКЛУБ""","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""АВТОКЛУБ""","423821, Татарстан респ., г. Набережные Челны, бульвар Цветочный, д. 17",nou-avtoklub.ru,1996-03-21,,Действующая,1650055351.0,Республика Татарстан,"Республика Татарстан, Набережные Челны",92730000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,NOU-AVTOKLUB.RU,BEGET-RU,2021-01-21 11:53:06,2023-01-21 11:53:06
"АВТОЛАЙФ, ЧОУ ДПО",1127400002971.0,"ЧОУ ДПО ""АВТОЛАЙФ""","ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АВТОЛАЙФ""","455034, Челябинская обл., г. Магнитогорск, ул. Жукова, д. 20 кв. 31",avtlife.ru,1992-07-27,,Действующая,7456990212.0,Челябинская область,"Челябинская область, Магнитогорск, Орджоникидзевский",75738000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTLIFE.RU,REGRU-RU,2020-12-29 14:04:39,2022-12-29 14:04:40
"АВТОЛЕДИ, ЧПОУ",1105600000439.0,"ЧПОУ ""АВТОЛЕДИ""","ЧАСТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АВТОЛЕДИ""","460040, Оренбургская обл., г. Оренбург, ул. 75-Я Линия, д. 2 к. д. кв. 60",avtoledi56.ru,2010-03-24,,Действующая,5610098660.0,Оренбургская область,"Оренбургская область, Оренбург, Ленинский",53701000001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTOLEDI56.RU,DOMAINSHOP-RU,2022-06-23 14:02:54,2023-06-23 14:02:54
"АВТОЛИДЕР, ЧПОУ АВТОШКОЛА",1153850009983.0,"ЧПОУ АВТОШКОЛА ""АВТОЛИДЕР""","ЧАСТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АВТОШКОЛА ""АВТОМОБИЛЬНЫЙ ЛИДЕР""","666033, Иркутская обл., г. Шелехов, ул. Кабельщиков, д. 1",avtolider38.ru,2015-03-11,,Действующая,3810056166.0,Иркутская область,"Иркутская область, Шелеховский район, Шелехов",25655101001.0,Деятельность школ подготовки водителей автотранспортных средств,85.42.1,Частные учреждения,75500.0,AVTOLIDER38.RU,RU-CENTER-RU,2015-07-20 08:49:56,2023-07-20 08:49:56
